TIME-ASYB,ALTITUD-ASYB,TIME-FTW,ALTITUD-FTW,HORZV,VERTV,HEAD,ax,ay,az,Rango (m)
3719153,4706.13,,,,,,-1.68,0,0.52,
3719453,4661.08,,,,,,-1.65,-0.33,0.65,
3720253,4511.48,,,,,,-1.72,-0.2,0.54,
3720453,4476.51,,,,,,-1.92,-0.09,0.82,
3720653,4439.67,,,,,,-2.08,0.05,0.89,
3720953,4389.93,,,,,,-1.84,0.1,0.23,
3721153,4354.61,,,,,,-2.14,0.06,0.72,
3721303,4330.96,,,,,,-2.02,0.01,0.37,
3721453,4304.9,,,,,,-2.08,0.2,1.12,
3721953,4211.87,,,,,,-2.09,-0.26,0.58,
3722153,4172.87,,,,,,-2.52,0.22,0.48,
3722603,4085.27,,,,,,-2.19,0.23,0.44,
3722753,4057.05,,,,,,-2.29,0.31,0.48,
3722903,4028.7,,,,,,-2.49,0.4,-0.01,
3723103,3990.39,,,,,,-2.34,-0.21,0.89,
3723303,3953.82,,,,,,-2.58,0.29,0.67,
3723503,3916.87,,,,,,-2.38,0.12,0.45,
3723703,3877.71,,,,,,-2.73,0.26,0.38,
3723853,3848.95,,,,,,-3.12,-0.24,1.22,
3724053,3807.54,,,,,,-2.56,0.22,0.3,
3724203,3776.3,,,,,,-2.81,-0.24,0.08,
3724403,3736.17,,,,,,-2.84,-0.18,0.3,
3724603,3692.21,,,,,,-2.65,0.23,0.84,
3724753,3662.36,,,,,,-2.95,-0.24,0.63,
3724953,3618.1,,,,,,-3,0.3,0.53,
3725103,3588.95,,,,,,-3.15,-0.14,0.59,
3725303,3549.24,,,,,,-3.18,-0.45,0.46,
3725503,3505.15,,,,,,-2.82,0.04,0.06,
3725653,3476.95,,,,,,-3.13,0.34,0.29,
3725853,3433.06,,,,,,-3.53,0.05,0.94,
3726003,3402.47,,,,,,-3.34,0.09,0.73,
3726203,3361.21,,,,,,-3.06,-0.37,0.05,
3726403,3318.57,,,,,,-3.15,0,0.38,
3726603,3277.75,,,,,,-3.73,-0.34,0.6,
3726803,3232.66,,,,,,-3.68,0.24,1.16,
3726953,3200.58,,,,,,-3.14,0.6,0.67,
3727153,3154.8,,,,,,-3.45,0.04,0.3,
3727353,3111.29,,,,,,-3.66,0.09,0.7,
3727553,3065.97,,,,,,-3.88,0.02,0.94,
3727753,3021.47,,,,,,-3.36,0.36,0.44,
3727953,2977.26,,,,,,-3.02,0.38,1.36,
3728153,2929.64,,,,,,-3.81,-0.01,0.56,
3728353,2885.03,,,,,,-3.97,0.4,1.17,
3728553,2837.85,,,,,,-3.97,0.82,0.6,
3728753,2792.26,,,,,,-4,-0.02,0.82,
3728953,2745.46,,,,,,-4.33,-0.15,1.03,
3729153,2699.84,,,,,,-4.18,-0.04,1.15,
3729353,2652.45,,,,,,-4.22,-0.02,1.21,
3729553,2608.39,,,,,,-4.58,-0.03,0.57,
3729753,2561.42,,,,,,-4.37,0.24,0.38,
3729953,2515.55,,,,,,-4.05,-1.85,0.37,
3730153,2468.37,,,,,,-4.84,0.23,0.23,
3730353,2420.46,,,,,,-4.28,-0.12,1.1,
3730553,2370.7,,,,,,-5.13,0.65,-0.01,
3730753,2323.25,,,,,,-4.68,-0.08,0.79,
3730953,2273.23,,,,,,-4.88,0.27,0.45,
3731103,2237.46,,,,,,-4.42,-0.22,-0.17,
3731303,2184.24,,,,,,-4.89,0.21,1.14,
3731453,2148.24,,,,,,-4.57,0.44,0.6,
3731603,2111.45,,,,,,-5.74,0.54,1.18,
3731753,2072.69,,,,,,-5.22,-0.36,1.3,
3731953,2022.2,,,,,,-5.48,0,1.22,
3732103,1984.7,,,,,,-5.54,0.7,0.74,
3732253,1946.65,,,,,,-5.83,1.21,4.1,
3732403,1910.19,,,,,,-5.71,0.37,-0.28,
3732603,1860.67,,,,,,-5.74,0.65,0.92,
3732753,1822.96,,,,,,-5.83,0.45,1.67,
3732903,1784.58,,,,,,-5.59,0.34,2.51,
3733053,1747.3,,,,,,-5.41,0.17,0.42,
3733203,1709.68,,,,,,-5.62,0.65,1.41,
3733353,1671.85,,,,,,-6.06,0.6,1.48,
3733503,1635.03,,,,,,-5.85,0.03,1.34,
3733653,1597.25,,,,,,-6.62,-0.05,2.22,
3733853,1547.81,,,,,,-5.72,0.93,2.36,
3734003,1508.28,,,,,,-5.88,-0.7,3.51,
3734203,1458.9,,,,,,-5.69,1.48,1.78,
3734353,1422.82,,,,,,-5.28,1.14,0.29,
3734503,1387.11,,,,,,-5.97,-0.28,3.04,
3734703,1335.7,,,,,,-6.21,0.87,1.18,
3734853,1297.93,,,,,,-4.64,0.71,2,
3735003,1259.76,,,,,,-6.36,0.78,2.39,
3735203,1209.02,,,,,,-5.92,0.56,0.51,
3735353,1173.14,,,,,,-6.04,0.01,1.28,
3735503,1133.61,,,,,,-5.58,-1.08,-0.06,
3735703,1081.96,,,,,,-6.16,0.77,2.44,
3735853,1042.26,,,,,,-6.37,0.02,1.71,
3736053,992.48,,,,,,-6.81,0.86,2.42,
3736203,950.83,,,,,,-6.63,1.11,0.98,
3736353,913.36,,,,,,-6.31,-1.32,2.54,
3736553,859.72,,,,,,-5.99,0.98,-2.71,
3736753,810.79,,,,,,-6.38,-0.35,0.75,
3737153,707.89,,,,,,-7.49,0.72,-0.31,
3737353,647.49,,,,,,-7.29,0.83,0.97,
3737503,603.04,,,,,,-6.21,-1.13,3.6,
3737653,577.62,,,,,,-7.81,0.76,1.03,
3737803,539.7,,,,,,-7.05,0.72,1.69,
3737953,498.4,,,,,,-6.69,-0.29,0.53,
3738153,445.06,,,,,,-6.45,0.34,0.8,
3738303,405.02,,,,,,-7.95,0.56,-1.57,
3738503,353.42,,,,,,-7.7,-0.45,1.76,
3738653,310.79,,,,,,-6.71,-2.64,4.4,
3738853,257.17,,,,,,-7.42,-0.51,1.41,
3739053,203.22,,,,,,-7.81,-0.01,4.91,
3739453,100.16,,,,,,-7.76,-0.11,4.2,
3739653,49.77,,,,,,-7.74,0.8,-0.03,
3739853,0,,,,,,-8.32,0.19,4.03,
