time,thrust
0.633,4892.9606
0.634,4892.7956
0.635,4892.6306
0.636,4892.4656
0.637,4892.3006
0.638,4892.1356
0.639,4891.9705
0.64,4891.8055
0.641,4891.6404
0.642,4891.4754
0.643,4891.3103
0.644,4891.1452
0.645,4890.9801
0.646,4890.815
0.647,4890.6499
0.648,4890.4848
0.649,4890.3196
0.65,4890.1545
0.651,4889.9893
0.652,4889.8241
0.653,4889.659
0.654,4889.4938
0.655,4889.3286
0.656,4889.1633
0.657,4888.9981
0.658,4888.8329
0.659,4888.6676
0.66,4888.5024
0.661,4888.3371
0.662,4888.1718
0.663,4888.0065
0.664,4887.8412
0.665,4887.6759
0.666,4887.5106
0.667,4887.3452
0.668,4887.1799
0.669,4887.0145
0.67,4886.8492
0.671,4886.6838
0.672,4886.5184
0.673,4886.353
0.674,4886.1876
0.675,4886.0221
0.676,4885.8567
0.677,4885.6913
0.678,4885.5258
0.679,4885.3603
0.68,4885.1948
0.681,4885.0294
0.682,4884.8639
0.683,4884.6983
0.684,4884.5328
0.685,4884.3673
0.686,4884.2017
0.687,4884.0362
0.688,4883.8706
0.689,4883.705
0.69,4883.5394
0.691,4883.3738
0.692,4883.2082
0.693,4883.0426
0.694,4882.877
0.695,4882.7113
0.696,4882.5457
0.697,4882.38
0.698,4882.2143
0.699,4882.0487
0.7,4881.883
0.701,4881.7173
0.702,4881.5515
0.703,4881.3858
0.704,4881.2201
0.705,4881.0543
0.706,4880.8886
0.707,4880.7228
0.708,4880.557
0.709,4880.3912
0.71,4880.2254
0.711,4880.0596
0.712,4879.8937
0.713,4879.7279
0.714,4879.5621
0.715,4879.3962
0.716,4879.2303
0.717,4879.0644
0.718,4878.8986
0.719,4878.7327
0.72,4878.5667
0.721,4878.4008
0.722,4878.2349
0.723,4878.0689
0.724,4877.903
0.725,4877.737
0.726,4877.571
0.727,4877.405
0.728,4877.239
0.729,4877.073
0.73,4876.907
0.731,4876.741
0.732,4876.5749
0.733,4876.4089
0.734,4876.2428
0.735,4876.0767
0.736,4875.9106
0.737,4875.7445
0.738,4875.5784
0.739,4875.4123
0.74,4875.2462
0.741,4875.08
0.742,4874.9139
0.743,4874.7477
0.744,4874.5816
0.745,4874.4154
0.746,4874.2492
0.747,4874.083
0.748,4873.9168
0.749,4873.7505
0.75,4873.5843
0.751,4873.418
0.752,4873.2518
0.753,4873.0855
0.754,4872.9192
0.755,4872.7529
0.756,4872.5866
0.757,4872.4203
0.758,4872.254
0.759,4872.0877
0.76,4871.9213
0.761,4871.755
0.762,4871.5886
0.763,4871.4222
0.764,4871.2558
0.765,4871.0894
0.766,4870.923
0.767,4870.7566
0.768,4870.5902
0.769,4870.4237
0.77,4870.2573
0.771,4870.0908
0.772,4869.9243
0.773,4869.7579
0.774,4869.5914
0.775,4869.4249
0.776,4869.2583
0.777,4869.0918
0.778,4868.9253
0.779,4868.7587
0.78,4868.5922
0.781,4868.4256
0.782,4868.259
0.783,4868.0924
0.784,4867.9258
0.785,4867.7592
0.786,4867.5926
0.787,4867.4259
0.788,4867.2593
0.789,4867.0926
0.79,4866.926
0.791,4866.7593
0.792,4866.5926
0.793,4866.4259
0.794,4866.2592
0.795,4866.0925
0.796,4865.9258
0.797,4865.759
0.798,4865.5923
0.799,4865.4255
0.8,4865.2587
0.801,4865.0919
0.802,4864.9251
0.803,4864.7583
0.804,4864.5915
0.805,4864.4247
0.806,4864.2579
0.807,4864.091
0.808,4863.9242
0.809,4863.7573
0.81,4863.5904
0.811,4863.4235
0.812,4863.2566
0.813,4863.0897
0.814,4862.9228
0.815,4862.7559
0.816,4862.5889
0.817,4862.422
0.818,4862.255
0.819,4862.088
0.82,4861.921
0.821,4861.754
0.822,4861.587
0.823,4861.42
0.824,4861.253
0.825,4861.0859
0.826,4860.9189
0.827,4860.7518
0.828,4860.5848
0.829,4860.4177
0.83,4860.2506
0.831,4860.0835
0.832,4859.9164
0.833,4859.7492
0.834,4859.5821
0.835,4859.415
0.836,4859.2478
0.837,4859.0806
0.838,4858.9135
0.839,4858.7463
0.84,4858.5791
0.841,4858.4119
0.842,4858.2446
0.843,4858.0774
0.844,4857.9102
0.845,4857.7429
0.846,4857.5757
0.847,4857.4084
0.848,4857.2411
0.849,4857.0738
0.85,4856.9065
0.851,4856.7392
0.852,4856.5719
0.853,4856.4045
0.854,4856.2372
0.855,4856.0698
0.856,4855.9025
0.857,4855.7351
0.858,4855.5677
0.859,4855.4003
0.86,4855.2329
0.861,4855.0655
0.862,4854.898
0.863,4854.7306
0.864,4854.5631
0.865,4854.3957
0.866,4854.2282
0.867,4854.0607
0.868,4853.8932
0.869,4853.7257
0.87,4853.5582
0.871,4853.3907
0.872,4853.2231
0.873,4853.0556
0.874,4852.888
0.875,4852.7205
0.876,4852.5529
0.877,4852.3853
0.878,4852.2177
0.879,4852.0501
0.88,4851.8825
0.881,4851.7148
0.882,4851.5472
0.883,4851.3796
0.884,4851.2119
0.885,4851.0442
0.886,4850.8765
0.887,4850.7088
0.888,4850.5411
0.889,4850.3734
0.89,4850.2057
0.891,4850.038
0.892,4849.8702
0.893,4849.7024
0.894,4849.5347
0.895,4849.3669
0.896,4849.1991
0.897,4849.0313
0.898,4848.8635
0.899,4848.6957
0.9,4848.5279
0.901,4848.36
0.902,4848.1922
0.903,4848.0243
0.904,4847.8564
0.905,4847.6885
0.906,4847.5206
0.907,4847.3527
0.908,4847.1848
0.909,4847.0169
0.91,4846.849
0.911,4846.681
0.912,4846.5131
0.913,4846.3451
0.914,4846.1771
0.915,4846.0091
0.916,4845.8411
0.917,4845.6731
0.918,4845.5051
0.919,4845.3371
0.92,4845.169
0.921,4845.001
0.922,4844.8329
0.923,4844.6648
