Time (s),Oxidizer Mass (kg),Fuel Mass (kg)
0.558,12.100081,2.3063691
0.559,12.097954,2.3060182
0.56,12.095827,2.3056673
0.561,12.0937,2.3053164
0.562,12.091573,2.3049656
0.563,12.089447,2.3046148
0.564,12.08732,2.3042639
0.565,12.085194,2.3039132
0.566,12.083067,2.3035624
0.567,12.080941,2.3032116
0.568,12.078815,2.3028609
0.569,12.076689,2.3025102
0.57,12.074562,2.3021595
0.571,12.072436,2.3018089
0.572,12.07031,2.3014582
0.573,12.068185,2.3011076
0.574,12.066059,2.300757
0.575,12.063933,2.3004064
0.576,12.061807,2.3000558
0.577,12.059682,2.2997053
0.578,12.057556,2.2993547
0.579,12.055431,2.2990042
0.58,12.053305,2.2986538
0.581,12.05118,2.2983033
0.582,12.049055,2.2979528
0.583,12.04693,2.2976024
0.584,12.044804,2.297252
0.585,12.042679,2.2969016
0.586,12.040554,2.2965513
0.587,12.03843,2.2962009
0.588,12.036305,2.2958506
0.589,12.03418,2.2955003
0.59,12.032055,2.29515
0.591,12.029931,2.2947997
0.592,12.027806,2.2944495
0.593,12.025682,2.2940992
0.594,12.023557,2.293749
0.595,12.021433,2.2933988
0.596,12.019309,2.2930487
0.597,12.017185,2.2926985
0.598,12.015061,2.2923484
0.599,12.012937,2.2919983
0.6,12.010813,2.2916482
0.601,12.008689,2.2912981
0.602,12.006565,2.2909481
0.603,12.004441,2.290598
0.604,12.002318,2.290248
0.605,12.000194,2.289898
0.606,11.998071,2.2895481
0.607,11.995947,2.2891981
0.608,11.993824,2.2888482
0.609,11.991701,2.2884983
0.61,11.989577,2.2881484
0.611,11.987454,2.2877985
0.612,11.985331,2.2874486
0.613,11.983208,2.2870988
0.614,11.981085,2.286749
0.615,11.978962,2.2863992
0.616,11.97684,2.2860494
0.617,11.974717,2.2856997
0.618,11.972594,2.2853499
0.619,11.970472,2.2850002
0.62,11.968349,2.2846505
0.621,11.966227,2.2843008
0.622,11.964105,2.2839512
0.623,11.961982,2.2836015
0.624,11.95986,2.2832519
0.625,11.957738,2.2829023
0.626,11.955616,2.2825527
0.627,11.953494,2.2822032
0.628,11.951372,2.2818536
0.629,11.94925,2.2815041
0.63,11.947129,2.2811546
0.631,11.945007,2.2808051
0.632,11.942885,2.2804556
0.633,11.940764,2.2801062
0.634,11.938642,2.2797568
0.635,11.936521,2.2794074
0.636,11.9344,2.279058
0.637,11.932278,2.2787086
0.638,11.930157,2.2783593
0.639,11.928036,2.2780099
0.64,11.925915,2.2776606
0.641,11.923794,2.2773113
0.642,11.921673,2.276962
0.643,11.919552,2.2766128
0.644,11.917432,2.2762636
0.645,11.915311,2.2759143
0.646,11.91319,2.2755652
0.647,11.91107,2.275216
0.648,11.90895,2.2748668
0.649,11.906829,2.2745177
0.65,11.904709,2.2741686
0.651,11.902589,2.2738195
0.652,11.900469,2.2734704
0.653,11.898348,2.2731213
0.654,11.896228,2.2727723
0.655,11.894109,2.2724233
0.656,11.891989,2.2720743
0.657,11.889869,2.2717253
0.658,11.887749,2.2713763
0.659,11.88563,2.2710274
0.66,11.88351,2.2706785
0.661,11.881391,2.2703295
0.662,11.879271,2.2699807
0.663,11.877152,2.2696318
0.664,11.875033,2.2692829
0.665,11.872913,2.2689341
0.666,11.870794,2.2685853
0.667,11.868675,2.2682365
0.668,11.866556,2.2678877
0.669,11.864437,2.267539
0.67,11.862318,2.2671902
0.671,11.8602,2.2668415
0.672,11.858081,2.2664928
0.673,11.855962,2.2661442
0.674,11.853844,2.2657955
0.675,11.851725,2.2654469
0.676,11.849607,2.2650982
0.677,11.847489,2.2647496
0.678,11.84537,2.2644011
0.679,11.843252,2.2640525
0.68,11.841134,2.2637039
0.681,11.839016,2.2633554
0.682,11.836898,2.2630069
0.683,11.83478,2.2626584
0.684,11.832663,2.26231
0.685,11.830545,2.2619615
0.686,11.828427,2.2616131
0.687,11.82631,2.2612647
0.688,11.824192,2.2609163
0.689,11.822075,2.2605679
0.69,11.819957,2.2602195
0.691,11.81784,2.2598712
0.692,11.815723,2.2595229
0.693,11.813606,2.2591746
0.694,11.811489,2.2588263
0.695,11.809372,2.258478
0.696,11.807255,2.2581298
0.697,11.805138,2.2577816
0.698,11.803021,2.2574334
0.699,11.800904,2.2570852
0.7,11.798788,2.256737
0.701,11.796671,2.2563889
0.702,11.794555,2.2560407
0.703,11.792438,2.2556926
0.704,11.790322,2.2553445
0.705,11.788206,2.2549965
0.706,11.786089,2.2546484
0.707,11.783973,2.2543004
0.708,11.781857,2.2539523
0.709,11.779741,2.2536043
0.71,11.777625,2.2532564
0.711,11.77551,2.2529084
0.712,11.773394,2.2525605
0.713,11.771278,2.2522125
